"ID"	"Product"	"Rank"
"626"	126	"G"	1
"627"	126	"B"	2
"628"	126	"N"	4
"629"	126	"P"	3
"630"	126	"M"	5
"631"	127	"G"	1
"632"	127	"B"	4
"633"	127	"N"	3
"634"	127	"P"	2
"635"	127	"M"	5
"636"	128	"G"	5
"637"	128	"B"	2
"638"	128	"N"	1
"639"	128	"P"	3
"640"	128	"M"	4
"641"	129	"G"	2
"642"	129	"B"	1
"643"	129	"N"	4
"644"	129	"P"	3
"645"	129	"M"	5
"646"	130	"G"	4
"647"	130	"B"	1
"648"	130	"N"	3
"649"	130	"P"	2
"650"	130	"M"	5
"651"	131	"G"	5
"652"	131	"B"	3
"653"	131	"N"	1
"654"	131	"P"	2
"655"	131	"M"	4
"656"	132	"G"	4
"657"	132	"B"	1
"658"	132	"N"	3
"659"	132	"P"	2
"660"	132	"M"	5
"661"	133	"G"	3
"662"	133	"B"	2
"663"	133	"N"	4
"664"	133	"P"	1
"665"	133	"M"	5
"666"	134	"G"	3
"667"	134	"B"	1
"668"	134	"N"	5
"669"	134	"P"	2
"670"	134	"M"	4
"671"	135	"G"	3
"672"	135	"B"	1
"673"	135	"N"	2
"674"	135	"P"	4
"675"	135	"M"	5
"676"	136	"G"	1
"677"	136	"B"	4
"678"	136	"N"	2.5
"679"	136	"P"	2.5
"680"	136	"M"	5
"681"	137	"G"	1
"682"	137	"B"	3
"683"	137	"N"	5
"684"	137	"P"	2
"685"	137	"M"	4
"686"	138	"G"	2
"687"	138	"B"	5
"688"	138	"N"	4
"689"	138	"P"	1
"690"	138	"M"	3
"691"	139	"G"	1
"692"	139	"B"	4
"693"	139	"N"	2
"694"	139	"P"	3
"695"	139	"M"	5
"696"	140	"G"	1
"697"	140	"B"	4.5
"698"	140	"N"	3
"699"	140	"P"	2
"700"	140	"M"	4.5
"701"	141	"G"	3
"702"	141	"B"	1
"703"	141	"N"	4
"704"	141	"P"	2
"705"	141	"M"	5
"706"	142	"G"	1
"707"	142	"B"	3
"708"	142	"N"	5
"709"	142	"P"	2
"710"	142	"M"	4
"711"	143	"G"	1
"712"	143	"B"	3
"713"	143	"N"	4
"714"	143	"P"	2
"715"	143	"M"	5
"716"	144	"G"	4.5
"717"	144	"B"	1
"718"	144	"N"	2
"719"	144	"P"	3
"720"	144	"M"	4.5
"721"	145	"G"	2
"722"	145	"B"	3
"723"	145	"N"	1
"724"	145	"P"	5
"725"	145	"M"	4
"726"	146	"G"	3
"727"	146	"B"	1
"728"	146	"N"	2
"729"	146	"P"	4.5
"730"	146	"M"	4.5
"731"	147	"G"	1
"732"	147	"B"	2
"733"	147	"N"	4
"734"	147	"P"	3
"735"	147	"M"	5
"736"	148	"G"	4
"737"	148	"B"	1
"738"	148	"N"	3
"739"	148	"P"	2
"740"	148	"M"	5
"741"	149	"G"	3
"742"	149	"B"	1
"743"	149	"N"	2
"744"	149	"P"	4
"745"	149	"M"	5
"746"	150	"G"	4
"747"	150	"B"	2
"748"	150	"N"	1
"749"	150	"P"	3
"750"	150	"M"	5
"751"	151	"G"	4
"752"	151	"B"	2
"753"	151	"N"	1
"754"	151	"P"	3
"755"	151	"M"	5
"756"	152	"G"	1.5
"757"	152	"B"	1.5
"758"	152	"N"	4
"759"	152	"P"	5
"760"	152	"M"	3
"761"	153	"G"	3
"762"	153	"B"	5
"763"	153	"N"	1
"764"	153	"P"	3
"765"	153	"M"	4
"766"	154	"G"	2
"767"	154	"B"	1
"768"	154	"N"	4
"769"	154	"P"	3
"770"	154	"M"	5
"771"	155	"G"	4
"772"	155	"B"	1
"773"	155	"N"	3
"774"	155	"P"	2
"775"	155	"M"	5
"776"	156	"G"	3
"777"	156	"B"	1
"778"	156	"N"	2
"779"	156	"P"	4
"780"	156	"M"	5
"781"	157	"G"	2
"782"	157	"B"	1
"783"	157	"N"	3
"784"	157	"P"	4
"785"	157	"M"	5
"786"	158	"G"	4
"787"	158	"B"	1
"788"	158	"N"	3
"789"	158	"P"	2
"790"	158	"M"	5
"791"	159	"G"	5
"792"	159	"B"	4
"793"	159	"N"	1
"794"	159	"P"	3
"795"	159	"M"	2
"796"	160	"G"	2
"797"	160	"B"	3
"798"	160	"N"	4
"799"	160	"P"	1
"800"	160	"M"	5
"801"	161	"G"	4
"802"	161	"B"	2
"803"	161	"N"	1
"804"	161	"P"	3
"805"	161	"M"	5
"806"	162	"G"	3
"807"	162	"B"	4
"808"	162	"N"	1
"809"	162	"P"	2
"810"	162	"M"	5
"811"	163	"G"	2
"812"	163	"B"	4
"813"	163	"N"	3
"814"	163	"P"	1
"815"	163	"M"	5
"816"	164	"G"	3
"817"	164	"B"	1
"818"	164	"N"	2
"819"	164	"P"	4
"820"	164	"M"	5
"821"	165	"G"	4
"822"	165	"B"	1
"823"	165	"N"	2
"824"	165	"P"	3
"825"	165	"M"	5
"826"	166	"G"	3
"827"	166	"B"	5
"828"	166	"N"	4
"829"	166	"P"	1
"830"	166	"M"	2
"831"	167	"G"	3
"832"	167	"B"	1
"833"	167	"N"	2
"834"	167	"P"	4
"835"	167	"M"	5
"836"	168	"G"	1
"837"	168	"B"	3
"838"	168	"N"	4
"839"	168	"P"	2
"840"	168	"M"	5
"841"	169	"G"	3
"842"	169	"B"	5
"843"	169	"N"	1
"844"	169	"P"	2
"845"	169	"M"	4
"846"	170	"G"	2
"847"	170	"B"	4
"848"	170	"N"	3
"849"	170	"P"	1
"850"	170	"M"	5
"851"	171	"G"	4.5
"852"	171	"B"	2
"853"	171	"N"	1
"854"	171	"P"	3
"855"	171	"M"	4.5
"856"	172	"G"	3
"857"	172	"B"	2
"858"	172	"N"	1
"859"	172	"P"	4
"860"	172	"M"	5
"861"	173	"G"	4.5
"862"	173	"B"	1
"863"	173	"N"	2
"864"	173	"P"	3
"865"	173	"M"	4.5
"866"	174	"G"	1
"867"	174	"B"	5
"868"	174	"N"	2
"869"	174	"P"	4
"870"	174	"M"	3
"871"	175	"G"	1
"872"	175	"B"	2
"873"	175	"N"	3
"874"	175	"P"	5
"875"	175	"M"	4
"876"	176	"G"	1
"877"	176	"B"	3
"878"	176	"N"	2
"879"	176	"P"	4
"880"	176	"M"	5
"881"	177	"G"	1
"882"	177	"B"	2
"883"	177	"N"	4
"884"	177	"P"	5
"885"	177	"M"	3
"886"	178	"G"	5
"887"	178	"B"	2
"888"	178	"N"	3
"889"	178	"P"	1
"890"	178	"M"	4
"891"	179	"G"	1
"892"	179	"B"	4
"893"	179	"N"	3
"894"	179	"P"	2
"895"	179	"M"	5
"896"	180	"G"	3
"897"	180	"B"	1.5
"898"	180	"N"	1.5
"899"	180	"P"	4
"900"	180	"M"	5
"901"	181	"G"	1
"902"	181	"B"	5
"903"	181	"N"	3
"904"	181	"P"	4
"905"	181	"M"	2
"906"	182	"G"	3
"907"	182	"B"	5
"908"	182	"N"	1
"909"	182	"P"	2
"910"	182	"M"	4
"911"	183	"G"	4
"912"	183	"B"	5
"913"	183	"N"	2
"914"	183	"P"	1
"915"	183	"M"	3
"916"	184	"G"	1
"917"	184	"B"	3
"918"	184	"N"	2
"919"	184	"P"	4
"920"	184	"M"	5
"921"	185	"G"	1
"922"	185	"B"	2
"923"	185	"N"	4
"924"	185	"P"	3
"925"	185	"M"	5
"926"	186	"G"	1
"927"	186	"B"	3
"928"	186	"N"	2
"929"	186	"P"	4
"930"	186	"M"	5
"931"	187	"G"	4
"932"	187	"B"	3
"933"	187	"N"	1
"934"	187	"P"	2
"935"	187	"M"	5
"936"	188	"G"	5
"937"	188	"B"	1.5
"938"	188	"N"	1.5
"939"	188	"P"	4
"940"	188	"M"	3
"941"	189	"G"	1
"942"	189	"B"	3
"943"	189	"N"	4
"944"	189	"P"	5
"945"	189	"M"	2
"946"	190	"G"	1
"947"	190	"B"	4
"948"	190	"N"	2
"949"	190	"P"	5
"950"	190	"M"	3
"951"	191	"G"	3
"952"	191	"B"	1
"953"	191	"N"	4
"954"	191	"P"	5
"955"	191	"M"	2
"956"	192	"G"	2
"957"	192	"B"	1
"958"	192	"N"	3
"959"	192	"P"	5
"960"	192	"M"	4
"961"	193	"G"	2
"962"	193	"B"	1
"963"	193	"N"	4.5
"964"	193	"P"	3
"965"	193	"M"	4.5
"966"	194	"G"	4
"967"	194	"B"	2
"968"	194	"N"	1
"969"	194	"P"	3
"970"	194	"M"	5
"971"	195	"G"	1
"972"	195	"B"	2
"973"	195	"N"	5
"974"	195	"P"	3
"975"	195	"M"	4
"976"	196	"G"	1
"977"	196	"B"	5
"978"	196	"N"	4
"979"	196	"P"	2
"980"	196	"M"	5
"981"	197	"G"	2
"982"	197	"B"	1
"983"	197	"N"	3
"984"	197	"P"	4
"985"	197	"M"	5
"986"	198	"G"	4
"987"	198	"B"	5
"988"	198	"N"	3
"989"	198	"P"	1
"990"	198	"M"	2
"991"	199	"G"	3
"992"	199	"B"	4
"993"	199	"N"	2
"994"	199	"P"	1
"995"	199	"M"	5
"996"	200	"G"	3
"997"	200	"B"	4
"998"	200	"N"	2
"999"	200	"P"	1
"1000"	200	"M"	5
